id	symbol
M00041	ATF2::JUN
M00062	IRF1
M00072	TFCP2
M00082	RUNX1
M00085	ZBTB6
M00088	IKZF1
M00105	CUX1
M00115	CNTN2::CREB1
M00133	POU3F1
M00139	AHR
M00141	IKZF1
M00143	PAX5
M00155	NR2F2
M00159	CEBPA
M00179	ATF2
M00220	SREBF1
M00222	TCF3
M00241	NKX2-5
M00289	FOXI1
M00294	Foxf1a
M00326	PAX1
M00327	PAX3
M00332	FOXN1
M00341	GABPB1
M00373	PAX4
M00378	PAX4
M00405	MEF2A
M00416	ALX1
M00420	MEIS1::HOXA9
M00433	Hmx3
M00444	VDR
M00448	ZIC1
M00449	ZIC2
M00454	ARID5B
M00456	BPTF
M00465	POU6F1
M00467	ZNF423
M00468	KLF12
M00478	CDC5L
M00483	ATF6
M00486	PAX2
M00490	BACH2
M00491	PATZ1
M00495	BACH1
M00500	STAT6
M00514	ATF4
M00515	PPARG::RXRA
M00518	PPARG::RXRA
M00526	NR6A1
M00621	CEBPD
M00622	CEBPG
M00624	DBP
M00632	GATA4
M00640	HOXA4
M00644	UBP1
M00646	HNF1B
M00647	NR1H3
M00648	MAF
M00649	MAZ
M00665	SP3
M00672	TEF
M00678	ETV7
M00694	E4F1
M00695	TEAD2
M00706	GTF2I
M00712	MYOG
M00717	PAX8
M00733	SMAD4
M00736	E2F1::TFDP1
M00737	E2F1::TFDP2
M00749	SREBF1
M00750	HMGA1
M00792	SMAD1
M00808	PAX1
M00809	FOXH1
M00961	VDR
M00964	NR1I2
M00979	PAX6
M00983	MAF
M00987	FOXP1
M00992	FOXP3
M00993	TAL1
M00999	AIRE
M01002	DEAF1
M01004	IKZF2
M01009	HES1
M01010	HMGA1
M01037	GLI1
M01067	GFI1
M01069	GZF1
M01075	ZBTB16
M01081	ZNF628
M01100	ZBTB7A
M01104	Ovol2
M01105	ZNF350
M01108	HOXA7
M01109	ZNF589
M01112	RBPJ
M01118	WT1
M01119	ZBTB33
M01122	ZNF219
M01123	NANOG
M01127	ISL1
M01132	SF1
M01146	DMRT1
M01147	DMRT2
M01148	DMRT3
M01149	Dmrta1
M01150	Dmrta2
M01151	Dmrtc2
M01171	BCL6
M01175	ZBTB7B
M01177	SREBF2
M01195	TBX22
M01207	ETS2
M01229	GTF2IRD1
